OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Return_to_owner;Dog;Intact Male;Male;Intact;7;months;month;0.583333333;Miniature Schnauzer ;;TRUE;Black;;Gray;
Adoption;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Spayed Female;Female;Non-intact;11;years;year;11;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Euthanasia;Dog;Intact Female;Female;Intact;1;year;year;1;Border Collie ;;TRUE;White;;Black;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Red;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Labrador Retriever ;;TRUE;Chocolate;;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Medium Hair ;;TRUE;Silver;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Lhasa Apso ;;TRUE;White;;Tan;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Black;;;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;White;;Blue;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Medium Hair ;;TRUE;Black;;Black;Tabby
Transfer;Dog;Intact Female;Female;Intact;1;year;year;1;Cairn Terrier ;;TRUE;Tan;;Brown;
Adoption;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Longhair ;;TRUE;White;;;
Transfer;Dog;Intact Male;Male;Intact;4;years;year;4;Manchester Terrier ;;TRUE;Black;;Tan;
Transfer;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Euthanasia;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Calico;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd ;;TRUE;Black;;Brown;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Australian Shepherd ;;TRUE;Brown;Merle;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Tortie;;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;;;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever;German Shepherd;FALSE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Manx ;;TRUE;Black;;;
Euthanasia;Cat;Unknown;Unknown;Unknown;2;days;day;0.005475702;Domestic Shorthair ;;TRUE;Black;;White;
Died;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Brown;Tabby;Gray;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Australian Kelpie ;;TRUE;Blue;;;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Longhair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Chihuahua Shorthair ;;TRUE;Tan;;Tan;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Golden Retriever ;;TRUE;Red;;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Cat;Spayed Female;Female;Non-intact;8;years;year;8;Domestic Shorthair ;;TRUE;Tortie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;German Shepherd ;;TRUE;Black;;;
Euthanasia;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;4;days;day;0.010951403;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;4;years;year;4;Domestic Shorthair ;;TRUE;Tortie;;;
Euthanasia;Dog;Intact Female;Female;Intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Buff;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;month;month;0.083333333;English Coonhound;Border Collie;FALSE;Red;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Chesa Bay Retr ;;TRUE;Chocolate;;;
Transfer;Cat;Unknown;Unknown;Unknown;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Spayed Female;Female;Non-intact;9;years;year;9;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;9;months;month;0.75;Plott Hound;Labrador Retriever;FALSE;Black;;Brown;Brindle
Euthanasia;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Pit Bull ;;TRUE;Brown;;Black;
Transfer;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Bull Terrier ;;TRUE;White;;Black;
Transfer;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Medium Hair ;;TRUE;Blue;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Longhair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Labrador Retriever;German Shepherd;FALSE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;3;years;year;3;Golden Retriever ;;TRUE;Red;;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Spayed Female;Female;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Boston Terrier ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Tortie;;;
Transfer;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Border Collie ;;TRUE;White;;Black;
Adoption;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;American Bulldog;Schnauzer Giant;FALSE;White;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Dogo Argentino;Labrador Retriever;FALSE;White;;Brown;
Return_to_owner;Dog;Intact Male;Male;Intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Brown;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Boston Terrier ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;8;months;month;0.666666667;German Shepherd;;FALSE;Black;;Tan;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Siberian Husky;;FALSE;Gray;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;10;years;year;10;Queensland Heeler ;;TRUE;Blue;Tick;Brown;
Transfer;Dog;Intact Female;Female;Intact;4;months;month;0.333333333;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Miniature Schnauzer ;;TRUE;Black;;White;
Return_to_owner;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;Dachshund Wirehair ;;TRUE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;11;years;year;11;Rat Terrier ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;9;months;month;0.75;Chow Chow;Pit Bull;FALSE;Cream;;;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Neutered Male;Male;Non-intact;5;years;year;5;Domestic Longhair ;;TRUE;White;;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Dachshund Wirehair ;;TRUE;Black;;Brown;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Labrador Retriever ;;TRUE;Red;;White;
Return_to_owner;Dog;Intact Female;Female;Intact;7;months;month;0.583333333;German Shepherd ;;TRUE;Black;;Tan;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;3;years;year;3;Beagle ;;TRUE;Tricolor;;;
Adoption;Dog;Neutered Male;Male;Non-intact;11;months;month;0.916666667;Miniature Schnauzer ;;TRUE;Black;;;
Return_to_owner;Dog;Intact Male;Male;Intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;White;;Red;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;German Shepherd;Great Dane;FALSE;Sable;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Labrador Retriever ;;TRUE;Black;;;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Intact Female;Female;Intact;4;months;month;0.333333333;Pit Bull ;;TRUE;Brown;;White;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Cream;;;
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Longhair ;;TRUE;Blue;;;
Adoption;Cat;Neutered Male;Male;Non-intact;9;years;year;9;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Longhair ;;TRUE;Silver;Tabby;;
Transfer;Dog;Intact Male;Male;Intact;2;days;day;0.005475702;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Manx ;;TRUE;Tortie;;;
Transfer;Cat;Spayed Female;Female;Non-intact;7;years;year;7;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;3;days;day;0.008213552;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;White;;Orange;Tabby
Return_to_owner;Dog;Intact Female;Female;Intact;3;years;year;3;Shih Tzu ;;TRUE;Tricolor;;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Chocolate;;Black;Smoke
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;English Pointer ;;TRUE;Black;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Miniature Schnauzer;Miniature Poodle;FALSE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Australian Shepherd ;;TRUE;Red;Merle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Black;;White;
Return_to_owner;Dog;Intact Male;Male;Intact;8;months;month;0.666666667;Australian Kelpie ;;TRUE;Brown;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;White;;Blue;Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Pit Bull ;;TRUE;White;;Brown;
Transfer;Cat;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Spayed Female;Female;Non-intact;3;months;month;0.25;American Pit Bull Terrier ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Longhair ;;TRUE;Black;;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Siamese ;;TRUE;Lynx Point;;;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Euthanasia;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Longhair ;;TRUE;Black;;White;
Transfer;Dog;Intact Male;Male;Intact;1;month;month;0.083333333;Plott Hound ;;TRUE;Black;;Brown;Brindle
Euthanasia;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Weimaraner;Pit Bull;FALSE;Fawn;;White;
Transfer;Cat;Intact Male;Male;Intact;;;;0;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;14;years;year;14;Pekingese ;;TRUE;White;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Return_to_owner;Dog;Intact Male;Male;Intact;7;months;month;0.583333333;Rottweiler;;FALSE;Black;;Brown;
Euthanasia;Cat;Intact Male;Male;Intact;4;years;year;4;Domestic Medium Hair ;;TRUE;Orange;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair ;;TRUE;Calico;Point;;
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Torbie;;White;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Euthanasia;Cat;Intact Female;Female;Intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Cream;Tabby;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;years;year;3;Domestic Medium Hair ;;TRUE;Orange;Tabby;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Basset Hound;English Pointer;FALSE;Chocolate;;White;
Euthanasia;Dog;Intact Female;Female;Intact;7;months;month;0.583333333;Labrador Retriever ;;TRUE;Tan;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Vizsla;Golden Retriever;FALSE;Red;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;12;years;year;12;Domestic Longhair ;;TRUE;White;;;
Return_to_owner;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Pit Bull ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;White;;Brown;Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Labrador Retriever ;;TRUE;Red;;White;
Died;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Blue;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Labrador Retriever ;;TRUE;Black;;White;
Return_to_owner;Dog;Intact Female;Female;Intact;5;years;year;5;Chihuahua Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Labrador Retriever ;;TRUE;Red;;;
Adoption;Cat;Neutered Male;Male;Non-intact;6;months;month;0.5;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Labrador Retriever;Pit Bull;FALSE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Staffordshire ;;TRUE;White;;Tan;
Transfer;Cat;Intact Male;Male;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Intact Male;Male;Intact;2;years;year;2;Chinese Sharpei;;FALSE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Border Collie;;FALSE;Black;;Tan;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;White;;Black;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Dachshund Longhair ;;TRUE;Tan;;;
Adoption;Cat;Spayed Female;Female;Non-intact;5;years;year;5;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Great Pyrenees ;;TRUE;White;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Beagle;Dachshund;FALSE;White;;Brown;
Transfer;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chinese Sharpei ;;TRUE;Tan;;White;
Euthanasia;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;White;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Australian Shepherd ;;TRUE;Red;;Black;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Yorkshire Terrier ;;TRUE;Tan;;Black;
Transfer;Cat;Intact Female;Female;Intact;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Brown;;Black;Tabby
Return_to_owner;Dog;Neutered Male;Male;Non-intact;13;years;year;13;Yorkshire Terrier ;;TRUE;Tricolor;;;
Euthanasia;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Medium Hair ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;American Bulldog;Labrador Retriever;FALSE;White;;Brown;
Adoption;Dog;Spayed Female;Female;Non-intact;12;years;year;12;Chihuahua Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Cream;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Yellow;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;White;;Blue;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Chesa Bay Retr ;;TRUE;Chocolate;;;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;Labrador Retriever;Border Collie;FALSE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Longhair ;;TRUE;Orange;Tabby;;
Transfer;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Anatol Shepherd;Redbone Hound;FALSE;Red;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;German Shepherd ;;TRUE;White;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair;Dachshund;FALSE;White;;Tan;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Labrador Retriever ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Dachshund ;;TRUE;Red;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pembroke Welsh Corgi;;FALSE;Sable;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;White;;Tan;
Transfer;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Whippet ;;TRUE;White;;Brown;Merle
Transfer;Dog;Unknown;Unknown;Unknown;6;months;month;0.5;Boxer ;;TRUE;Black;;;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Tortie;;;
Euthanasia;Cat;Neutered Male;Male;Non-intact;12;years;year;12;Domestic Longhair ;;TRUE;Blue;Tabby;White;
Euthanasia;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Torbie;;;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Siamese ;;TRUE;Lynx Point;;;
Adoption;Cat;Neutered Male;Male;Non-intact;8;years;year;8;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Labrador Retriever ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;7;months;month;0.583333333;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Yorkshire Terrier ;;TRUE;Tan;;;
Adoption;Dog;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Catahoula ;;TRUE;Tan;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Longhair ;;TRUE;Black;;White;
Transfer;Cat;Unknown;Unknown;Unknown;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Orange;Tabby;;
